restaurant_id,name,city,country,cuisine
6e551d53-4f6d-4b84-a9de-3d7c79694805,"2955 King","Kaybury","Dominican Republic",American
ff4db0d8-e809-46e8-9ae0-78ffee4902d9,"Sweet Creamery","Spencerchester","Czech Republic",Polish
c83bba2f-5229-4998-9566-1f3179b13e8a,"Thirsty Subs","Port Juliette","Central African Republic",Thai
795088d7-d227-422e-ad8c-f048bde0675e,"Hungry Pub","Reingerfurt","Zimbabwe",American
058b9c75-b72f-4594-80d2-e41194ff7672,"Spice Diner","Hickleland","Saint Martin",Chinese
25659c0e-6eb5-4c57-add8-fb6ac5f42699,"Golden Steakhouse","Lynville","Martinique",American
6c6a3b10-9747-4dca-a041-4edc22d147b0,"Fast Diner","West Karriefurt","Uruguay",Indian
52f5634d-de98-4543-8a1e-cbf1e2d0242f,"Red Sushi","Duaneburgh","New Zealand",Indian
4e44f26d-5455-405b-8fdb-63ab8b739ecf,"Blue Plate Coffee","Port Courtney","Russian Federation",Japanese
0e0d5f13-edd5-4ab0-9ddd-3df111bedc5a,"Thirsty Coffee","South Katina","Saint Helena",Indian
f0a6a958-e434-41bf-a830-dffa55a34db5,"5423 Eatery","Lake Milan","El Salvador",Japanese
0df3bae1-6384-4856-aa27-aef9f6c48b75,"Blue Plate Bar & Grill","Anamarialand","Ethiopia",French
1233cc27-7567-48e0-8dd2-6b0019506c2f,"Smokestack Deli","Lake Wynonaborough","Norfolk Island",Italian
b3688304-b24b-416a-9bf4-c2b6aaeb59d3,"RA Deli","Sylvesterfort","Virgin Islands, U.S.",Chinese
0fcf4084-ea31-49f8-99f9-9bf8c8b0c16b,"Smokestack Pub","East Marvinmouth","Colombia",American
428424b7-1f94-496a-8b7a-497ce177d32c,"0525 Dragon","South Tristanborough","Wallis and Futuna",Italian
5eb75bc0-d5fa-4209-9d42-7767f3f0585b,"Blue Juice Bar","New Enid","Barbados",Indian
f543de06-e341-4de2-95ab-ca0fd3ee51fe,"Golden Box","Lake Sona","Brazil",Indian
cf65c4b6-4c1c-420b-95de-23e5b56ffad5,"Blue Plate Deli","New Jerrybury","South Georgia and the South Sandwich Islands",Thai
0a15d43b-8f6b-444a-bef2-ffbddfdbd16f,"09 Dragon","Marquisville","Tokelau",American
bb6ceda0-3f7a-4dfa-9862-41a88dd468b2,"NBJ Cafe","Port Damon","Angola",Italian
68169a66-a8d4-4763-914e-7befc826445b,"Belly Sushi","West Norman","Gambia",Mexican
a302a1a8-c429-406f-abff-9f273aa0a4b5,"Big Coffee","Lake Karina","Georgia",Italian
aac35608-9499-49c5-811a-a059e773c968,"Smokestack Spoon","New Nicholmouth","Solomon Islands",French
65b2c0ea-6192-47fc-9286-2c1dd3ecefb1,"MZP Bakery","Nicolasburgh","Saint Helena",Chinese
ebe19120-496a-47fa-87eb-2440212a3363,"Silver Creamery","South Tamara","Tuvalu",Japanese
0d463f72-c3a1-4a2b-8d0d-1721a0d1a06b,"Smokestack Grill","Medhurstshire","Malawi",Greek
52c87fd9-fdf0-4256-b929-6153ad24a0ac,"Thirsty Shakes","South Brice","Nigeria",Chinese
9b9edd1e-b4f7-414c-b8b5-a3dc51fa0a8c,"Thirsty Juice Bar","Treuteltown","Rwanda",Greek
ef7fad1f-a86f-4ee1-95b4-ce1f339f0fa5,"Hungry Dragon","Cormierborough","Nepal",Mexican
f90cf3ca-e2d0-4129-bc7a-e8a2b80880da,"Salty Dragon","South Clyde","Angola",American
1eeb9c5f-5b7a-47af-b4f1-5a50d9d1089c,"6542 Dragon","East Donaldside","Saint Pierre and Miquelon",Japanese
953417c6-cd52-45e9-9ca0-bb450653c934,"041 Cafe","Zachariahville","Central African Republic",American
